Brand name,Generic name,Strength,Dosage form,Package size,Category,Online sale mode,Base online price BIF,Primary image
ParaCare,Paracetamol,500 mg,Tablet,Box of 20 tablets,Pain & Fever Relief,otc,2500,demo-medicines/paracare-500.png
CetiRelief,Cetirizine Hydrochloride,10 mg,Tablet,Box of 10 tablets,Allergy Care,otc,5000,demo-medicines/cetirelief-10.png
ORS Balance,Oral Rehydration Salts,Standard formula,Sachet,Pack of 10 sachets,Digestive & Rehydration,otc,1200,demo-medicines/ors-balance.png
QuiniSafe,Quinine Sulfate,300 mg,Tablet,Box of 20 tablets,Antimalarials,prescription_required,12000,demo-medicines/quinisafe-300.png
FeverEase Junior,Paracetamol,120 mg / 5 mL,Syrup,100 mL bottle,Pain & Fever Relief,otc,6500,demo-medicines/feverease-junior.png
AllerClear Kids,Cetirizine Hydrochloride,5 mg / 5 mL,Syrup,60 mL bottle,Allergy Care,otc,7200,demo-medicines/allerclear-kids.png
ZincPlus,Zinc Sulfate,20 mg,Tablet,Box of 20 dispersible tablets,Vitamins & Supplements,otc,4800,demo-medicines/zincplus-20.png
VitaC Boost,Ascorbic Acid,500 mg,Tablet,Tube of 20 effervescent tablets,Vitamins & Supplements,otc,8500,demo-medicines/vitac-boost-500.png
IbuEase,Ibuprofen,400 mg,Tablet,Box of 20 tablets,Pain & Fever Relief,pharmacist_review,4500,demo-medicines/ibuease-400.png
GastroCalm,Hyoscine Butylbromide,10 mg,Tablet,Box of 20 tablets,Digestive & Rehydration,pharmacist_review,7800,demo-medicines/gastrocalm-10.png
CoughEase DM,Dextromethorphan,15 mg / 5 mL,Syrup,100 mL bottle,Cough & Cold,pharmacist_review,9000,demo-medicines/coughease-dm.png
IronCare Plus,Ferrous Sulfate + Folic Acid,200 mg + 0.4 mg,Tablet,Box of 30 tablets,Women & Blood Health,pharmacist_review,10500,demo-medicines/ironcare-plus.png
AmoxiGuard,Amoxicillin Trihydrate,500 mg,Capsule,Box of 21 capsules,Anti-Infectives,prescription_required,9000,demo-medicines/amoxiguard-500.png
MetroSafe,Metronidazole,400 mg,Tablet,Box of 20 tablets,Anti-Infectives,prescription_required,7500,demo-medicines/metrosafe-400.png
ArteLum,Artemether + Lumefantrine,20 mg / 120 mg,Tablet,Box of 24 tablets,Antimalarials,prescription_required,18000,demo-medicines/artelum-20-120.png
InsuCare R,Human Insulin,100 IU / mL,Vial,10 mL vial,Diabetes Care,in_store_only,22500,demo-medicines/insucare-r.png
