Pharmacy,Branch,Medicine,SKU,Selling price BIF,Online price BIF,Opening stock,Batch A expiry,Batch B expiry,Pickup,Delivery,Delivery fee BIF,Max order qty,Preparation minutes
Pharmacie Horizon Santé,Horizon Santé — Rohero,ParaCare,HZN-PARACARE-500,2800,2500,80,+10 months,+22 months,Yes,Yes,3000,10,20
Pharmacie Horizon Santé,Horizon Santé — Rohero,CetiRelief,HZN-CETIRELIEF-10,5300,5000,97,+10 months,+22 months,Yes,Yes,3000,10,25
Pharmacie Horizon Santé,Horizon Santé — Rohero,ORS Balance,HZN-ORS-BALANCE,1500,1200,114,+10 months,+22 months,Yes,Yes,3000,10,30
Pharmacie Horizon Santé,Horizon Santé — Rohero,QuiniSafe,HZN-QUINISAFE-300,12300,12000,131,+10 months,+22 months,Yes,No,0,2,20
Pharmacie Horizon Santé,Horizon Santé — Rohero,FeverEase Junior,HZN-FEVEREASE-JUNI,6800,6500,148,+10 months,+22 months,Yes,Yes,3000,10,25
Pharmacie Horizon Santé,Horizon Santé — Rohero,AllerClear Kids,HZN-ALLERCLEAR-KID,7500,7200,165,+10 months,+22 months,Yes,Yes,3000,10,30
Pharmacie Horizon Santé,Horizon Santé — Rohero,ZincPlus,HZN-ZINCPLUS-20,5100,4800,92,+10 months,+22 months,Yes,Yes,3000,10,20
Pharmacie Horizon Santé,Horizon Santé — Rohero,VitaC Boost,HZN-VITAC-BOOST-50,8800,8500,109,+10 months,+22 months,Yes,Yes,3000,10,25
Pharmacie Horizon Santé,Horizon Santé — Rohero,IbuEase,HZN-IBUEASE-400,4800,4500,126,+10 months,+22 months,Yes,Yes,3000,5,30
Pharmacie Horizon Santé,Horizon Santé — Rohero,GastroCalm,HZN-GASTROCALM-10,8100,7800,143,+10 months,+22 months,Yes,Yes,3000,5,20
Pharmacie Horizon Santé,Horizon Santé — Rohero,CoughEase DM,HZN-COUGHEASE-DM,9300,9000,160,+10 months,+22 months,Yes,Yes,3000,5,25
Pharmacie Horizon Santé,Horizon Santé — Rohero,IronCare Plus,HZN-IRONCARE-PLUS,10800,10500,87,+10 months,+22 months,Yes,Yes,3000,5,30
Pharmacie Horizon Santé,Horizon Santé — Rohero,AmoxiGuard,HZN-AMOXIGUARD-500,9300,9000,104,+10 months,+22 months,Yes,No,0,2,20
Pharmacie Horizon Santé,Horizon Santé — Rohero,MetroSafe,HZN-METROSAFE-400,7800,7500,121,+10 months,+22 months,Yes,No,0,2,25
